"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1444";"LETROZOLE";"4.0";"285.31";"0";"2.66";"7";"N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1";"IC50";"'='";"5.3";"nM";"8.28";"";"";"UO_0000065";"29.01";"0.51";"5.62";"10.57";"1";"CHEMBL3861285";"Inhibition of recombinant human CYP19 expressed in baculovirus infected insect cells using MFC as substrate measured after 30 mins by fluorometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3860069";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";"";"";"5.3"
"CHEMBL9165";"";"None";"334.81";"0";"4.60";"MR-20492";"O=C1/C(=C\c2ccncc2)C(c2ccc(Cl)cc2)Cn2cccc21";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"20.01";"0.38";"2.10";"19.20";"1";"CHEMBL1105634";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157768";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"200.0"
"CHEMBL3354850";"";"None";"375.45";"0";"4.78";"2";"COc1ccc([S+]([O-])c2c(O)c(-c3cccnc3)cc3ccccc23)cc1";"Inhibition";"'<'";"5.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3371783";"Inhibition of human recombinant CYP19 using [1beta3H]androstenedione as substrate at 500 nM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352541";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"5.0"
"CHEMBL3354855";"";"None";"379.87";"1";"5.43";"7";"[O-][S+](c1ccccc1Cl)c1c(O)c(-c2cccnc2)cc2ccccc12";"Inhibition";"'<'";"5.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3371783";"Inhibition of human recombinant CYP19 using [1beta3H]androstenedione as substrate at 500 nM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352541";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"5.0"
"CHEMBL3354863";"";"None";"413.42";"1";"5.79";"15";"[O-][S+](c1ccccc1C(F)(F)F)c1c(O)c(-c2cccnc2)cc2ccccc12";"Inhibition";"'<'";"5.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3371783";"Inhibition of human recombinant CYP19 using [1beta3H]androstenedione as substrate at 500 nM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352541";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"5.0"
"CHEMBL3359954";"";"None";"390.44";"0";"4.41";"14";"CCCOc1ccc(COc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1";"IC50";"'='";"477.0";"nM";"6.32";"";"";"UO_0000065";"16.19";"0.30";"1.91";"9.51";"0";"CHEMBL3385621";"Inhibition of human placental microsomal CYP19 using [1beta-3H]androstenedione substrate pre-incubated for 5 mins by scintillation counting method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352054";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"477.0"
"CHEMBL1688897";"";"None";"366.80";"0";"4.27";"10";"O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(Cl)cc3)cc2o1";"IC50";"'='";"178.0";"nM";"6.75";"";"";"UO_0000065";"18.40";"0.35";"2.48";"11.79";"1";"CHEMBL3385621";"Inhibition of human placental microsomal CYP19 using [1beta-3H]androstenedione substrate pre-incubated for 5 mins by scintillation counting method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352054";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"178.0"
"CHEMBL3359952";"";"None";"362.39";"0";"3.63";"9";"COc1cccc(COc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)c1";"IC50";"'='";"549.0";"nM";"6.26";"";"";"UO_0000065";"17.28";"0.32";"2.63";"9.42";"0";"CHEMBL3385621";"Inhibition of human placental microsomal CYP19 using [1beta-3H]androstenedione substrate pre-incubated for 5 mins by scintillation counting method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352054";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"549.0"
"CHEMBL243960";"";"None";"338.41";"0";"4.83";"1c";"O=C(c1ccc(-c2ccccc2)cc1)c1ccccc1Cn1ccnc1";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"19.46";"0.35";"1.76";"18.87";"0";"CHEMBL889228";"Inhibition of CYP19 in human placental microsomes";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145461";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"260.0"
"CHEMBL3349931";"";"None";"343.47";"0";"3.20";"20";"CC(=O)NC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"Inhibition";"'<'";"2.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL657133";"Inhibition of 0.25 uM [1-3H]-androst-4-ene-3,17-dione binding to Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1122664";"1";"Scientific Literature";"J Med Chem";"1984";"None";"";"";"";"2.0"
"CHEMBL1086900";"STANDISHINAL DIACETATE";"None";"400.52";"1";"5.25";"Standishinal diacetate";"CC(=O)Oc1c(C(C)C)cc(C=O)c2c1[C@H](OC(C)=O)[C@H]1C(C)(C)CCC[C@]21C";"Inhibition";"'='";"38.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1109600";"Inhibition of human recombinant aromatase at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154905";"1";"Scientific Literature";"J Nat Prod";"2010";"None";"";"";"";"38.6"
"CHEMBL194928";"";"None";"255.32";"0";"4.65";"48";"C(=C1c2ccccc2-c2ccccc21)c1cccnc1";"IC50";"'='";"4808393.48";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1246069";"Inhibition of aromatase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240479";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"2.318"
"CHEMBL373074";"";"None";"221.30";"0";"4.13";"51";"CC1C/C(=C/c2cccnc2)c2ccccc21";"IC50";"'='";"2798981.32";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1246069";"Inhibition of aromatase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240479";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"2.553"
"CHEMBL336383";"";"None";"447.54";"0";"4.64";"14";"CC12CCC3C(Cc4nn(Cc5ccc([N+](=O)[O-])cc5)c5c4C3(C)CCC5=O)C1CCC2=O";"IC50";"'='";"658.0";"nM";"6.18";"";"";"UO_0000065";"13.81";"0.26";"1.54";"6.50";"0";"CHEMBL645585";"Inhibition of cytochrome P450 19A1 aromatase from human placental microsomes";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151017";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"658.0"
"CHEMBL67441";"";"None";"304.46";"0";"3.75";"3";"C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43S)C1CCC2=O";"Activity remaning";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL765533";"Dithiothreitol (10 nM) reactivation of human placental aromatase following 1.0 uM inactivation for 5 minutes";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124325";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"50.0"
"CHEMBL281947";"";"None";"298.39";"0";"2.48";"(+)-1h";"Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1";"Inhibition potency";"'='";"200.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL765528";"Inhibition of human placental aromatase cytochrome P450 19A1 enzyme";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125660";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"200.0"
"CHEMBL167583";"";"None";"300.40";"0";"3.27";"16";"CC12CCC3C(CC(=O)C4=CC(=O)CCC43C)C1CCC2=O";"Inhibition";"'='";"78.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL657136";"Percent inhibition of human placental Cytochrome P450 19A1 at 3:1 inhibitor: androstenedione (0.7 uM) ratio";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123074";"1";"Scientific Literature";"J Med Chem";"1985";"None";"";"";"";"78.0"
"CHEMBL488";"AMINOGLUTETHIMIDE";"4.0";"232.28";"0";"1.35";"Aminoglutethimide (AG)";"CCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"Inhibition";"'='";"32.5";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL649355";"Inhibition of human placental aromatase, cytochrome P450 19A1 at 20 uM";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131809";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";"32.5"
"CHEMBL168762";"";"None";"254.29";"0";"1.96";"7";"O=C1c2ccccc2CCC1C(O)c1ccnnc1";"IC50";"'>'";"250000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL666792";"In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129578";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"250.0"
"CHEMBL1689258";"";"None";"610.57";"3";"-1.40";"2";"O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](OCCc2ccc(O)c(O)c2)[C@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@@H]1O";"IC50";"'='";"32300.0";"nM";"4.49";"";"";"UO_0000065";"7.36";"0.14";"5.89";"1.83";"0";"CHEMBL1693773";"Inhibition of aromatase preincubated with 2.6 mM NADP+ for 10 mins before substrate addition measured after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687868";"1";"Scientific Literature";"J Nat Prod";"2011";"None";"";"";"";"32.3"
"CHEMBL4170868";"";"None";"352.78";"0";"3.86";"8t";"Clc1ccc(-c2[nH]c3cc4c(cc3c2Cn2cncn2)OCO4)cc1";"IC50";"'='";"677.4";"nM";"6.17";"";"";"UO_0000065";"17.49";"0.34";"2.31";"9.50";"0";"CHEMBL4143196";"Inhibition of human aromatase using androstenedione as substrate and NADPH preincubated for 24 hrs followed by substrate addition measured after 24 hrs by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138218";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";"";"";"";"677.4"
"CHEMBL1688917";"";"None";"428.88";"1";"6.07";"31";"O=c1cc(C(c2ccc(Cl)cc2)n2ccnc2)c2ccc(Oc3ccccc3)cc2o1";"IC50";"'='";"532.0";"nM";"6.27";"";"";"UO_0000065";"14.63";"0.28";"0.20";"10.96";"0";"CHEMBL1694074";"Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687929";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"0.532"
"CHEMBL133026";"";"None";"328.24";"1";"5.74";"27";"CC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cccnc1";"EC50";"'='";"145.0";"nM";"6.84";"";"";"UO_0000065";"20.83";"0.42";"1.10";"53.05";"0";"CHEMBL664331";"In vitro Cytochrome P450 19A1 inhibition concentration to decrease aromatization of androstenedione in rat ovarian microsome";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3859";"Aromatase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1124961";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"0.145"
"CHEMBL132708";"";"None";"336.24";"0";"4.73";"56";"OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccns1";"EC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"22.96";"0.50";"2.99";"23.31";"0";"CHEMBL664331";"In vitro Cytochrome P450 19A1 inhibition concentration to decrease aromatization of androstenedione in rat ovarian microsome";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3859";"Aromatase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1124961";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"0.019"
"CHEMBL70436";"";"None";"300.49";"1";"5.54";"18b";"CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"Ratio";"'='";"0.3";"";"";"";"";"";"";"";"";"";"0";"CHEMBL852497";"Ratio of cytochrome P450 19A1 Ki for 6-alpha substituted steroid relative to 6-beta substitution";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"0.3"
"CHEMBL166148";"";"None";"380.50";"1";"5.33";"20";"C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC(F)F)C1CCC2=O";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL661698";"In vitro inhibition to cytochrome P450 19A1 assayed using human placental microsomes";"B";"BAO_0000019";"assay format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129479";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"0.000001"
"CHEMBL4865360";"";"None";"402.84";"0";"3.64";"9b";"COc1ccc(OCC(Cn2cncn2)OC(=O)Nc2ccc(Cl)cc2)cc1";"Inhibition";"'='";"49.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4820183";"Inhibition of human CYP19A at 1 uM measured every 1 min for 60 mins by flourimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4819014";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"Dose = 1.0 microM | TIME = 1.0 hr";"INHIBITOR";"";"49.0"
"CHEMBL4861382";"";"None";"341.80";"0";"4.53";"13c";"O=C(Nc1ccc(Cl)cc1)OC(Cn1ccnc1)c1ccccc1";"Inhibition";"'='";"62.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4820183";"Inhibition of human CYP19A at 1 uM measured every 1 min for 60 mins by flourimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4819014";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"Dose = 1.0 microM | TIME = 1.0 hr";"INHIBITOR";"";"62.0"
"CHEMBL4858552";"";"None";"321.38";"0";"3.55";"13a";"O=C(NCc1ccccc1)OC(Cn1ccnc1)c1ccccc1";"IC50";"'='";"820.0";"nM";"6.09";"";"";"UO_0000065";"18.94";"0.35";"2.54";"10.84";"0";"CHEMBL4820184";"Inhibition of human CYP19A measured every 1 min for 60 mins by flourimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4819014";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"0.82"
"CHEMBL423772";"";"None";"302.41";"0";"3.69";"5a";"COC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1C";"Ratio";"'='";"2600.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL845652";"Ratio of Ki to Km for human placental cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124424";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"2600.0"
"CHEMBL2165324";"";"None";"301.35";"0";"3.70";"12";"O=C1CCc2cc(-c3cccnc3)cc(-c3cccnc3)c2N1";"IC50";"'='";"954.0";"nM";"6.02";"";"";"UO_0000065";"19.98";"0.36";"2.32";"10.97";"0";"CHEMBL2166348";"Inhibition of CYP19 in human placental microsomes using [1beta-3H]-androstendione as a substrate";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163209";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"954.0"
"CHEMBL150294";"";"None";"248.28";"0";"1.06";"20";"CCC1(c2ccc(N)c(O)c2)CCC(=O)NC1=O";"Inhibition";"";"";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL661755";"Inhibition of human placental aromatase Cytochrome P450 19A1; none";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1122309";"1";"Scientific Literature";"J Med Chem";"1983";"None";"";"";"Not active";""
"CHEMBL334958";"";"None";"348.66";"1";"5.92";"25";"Clc1ccc(C(Cl)(c2ccc(Cl)cc2)c2cccnc2)cc1";"EC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"19.21";"0.42";"0.78";"51.97";"0";"CHEMBL664331";"In vitro Cytochrome P450 19A1 inhibition concentration to decrease aromatization of androstenedione in rat ovarian microsome";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3859";"Aromatase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1124961";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"0.2"
"CHEMBL440691";"";"None";"290.45";"0";"3.67";"3";"CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O";"Ki";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"23.31";"0.44";"3.10";"16.73";"0";"CHEMBL664889";"Binding affinity for human placental microsome cytochrome P450 19A1 with 1 uM [1-beta-3H]-androstenedione";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125884";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"170.0"
"CHEMBL8333";"";"None";"326.48";"0";"4.89";"3c";"CCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12";"Ki";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"23.45";"0.44";"2.77";"22.43";"0";"CHEMBL666404";"Apparent inhibition constant (Ki) Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129505";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"22.0"
"CHEMBL8333";"";"None";"326.48";"0";"4.89";"3c";"CCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12";"Ki";"'='";"339.0";"nM";"6.47";"";"";"UO_0000065";"19.82";"0.37";"1.58";"18.95";"0";"CHEMBL664893";"Catalytic rate constant (Ki) for time-dependent inactivation of Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129505";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"339.0"
"CHEMBL98685";"";"None";"298.43";"0";"4.25";"14";"C=C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12";"Ki";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"28.56";"0.53";"4.27";"24.96";"0";"CHEMBL661762";"Binding affinity was measured on Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124997";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"3.0"
"CHEMBL172263";"";"None";"244.29";"0";"1.30";"9g";"CC(C)N1C(=O)C2CC2(c2ccc(N)cc2)C1=O";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"23.33";"0.43";"4.40";"8.99";"0";"CHEMBL660324";"Inhibition of human placental cytochrome P450 19A1 with testosterone";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124116";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";"";"";"2.0"
"CHEMBL82981";"";"None";"312.45";"0";"3.88";"25";"C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12";"IC50";"'='";"62000.0";"nM";"4.21";"";"";"UO_0000065";"13.47";"0.25";"0.33";"11.28";"0";"CHEMBL666801";"Inhibition of 1 uM [1-beta-3H]-androstenedione binding to human placental microsome Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125884";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"62.0"
"CHEMBL4763409";"";"None";"327.38";"0";"4.97";"11";"N#CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1";"IC50";"'='";"12800.0";"nM";"4.89";"";"";"UO_0000065";"14.95";"0.27";"-0.08";"7.62";"0";"CHEMBL4716146";"Inhibition of recombinant human aromatase incubated for 30 mins using fluorometric substrate 7-methoxy-4-trifluoromethylcoumarin in presence of NADPH cofactor mix by fluorometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715691";"1";"Scientific Literature";"J Med Chem";"2016";"None";"TIME = 0.5 hr";"INHIBITOR";"";"12800.0"
"CHEMBL4745681";"";"None";"384.44";"0";"3.93";"28";"Nc1ccc(C(Cn2cnnc2)=C(c2ccc(O)cc2)c2ccc(O)cc2)cc1";"IC50";"'='";"17.7";"nM";"7.75";"";"";"UO_0000065";"20.16";"0.37";"3.82";"7.98";"0";"CHEMBL4716146";"Inhibition of recombinant human aromatase incubated for 30 mins using fluorometric substrate 7-methoxy-4-trifluoromethylcoumarin in presence of NADPH cofactor mix by fluorometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715691";"1";"Scientific Literature";"J Med Chem";"2016";"None";"TIME = 0.5 hr";"INHIBITOR";"";"17.7"
"CHEMBL499007";"";"None";"253.30";"0";"2.82";"11";"COc1cncc(-c2ccc3c(c2)CCC(=O)C3)c1";"Inhibition";"'='";"58.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL989839";"Inhibition of human placental CYP19 at 500 nM";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151717";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"58.0"
