"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL376405";"";"None";"309.37";"0";"4.10";"Table S2, R76C1";"c1ccc(C2(n3cnnc3)c3ccccc3-c3ccccc32)cc1";"Inhibition";"'='";"44.0";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL1011780";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone at 36 uM by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"44.0"
"CHEMBL225156";"";"None";"253.26";"0";"2.86";"Table S2, R78C1";"COc1ccc2c(-c3ccncc3)cc(=O)oc2c1";"Inhibition";"'='";"27.0";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL1011780";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone at 36 uM by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"27.0"
"CHEMBL223929";"";"None";"227.22";"0";"1.43";"Table S2, R74C1";"O=c1ccc2ccc(Cn3cncn3)cc2o1";"Inhibition";"'='";"60.0";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL1011780";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone at 36 uM by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"60.0"
"CHEMBL175609";"";"None";"237.30";"0";"3.58";"12b";"COc1ccc2c(c1)CC/C2=C/c1ccncc1";"IC50";"'='";"3720.0";"nM";"5.43";"";"";"UO_0000065";"22.88";"0.41";"1.85";"24.55";"0";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"3720.0"
"CHEMBL29339";"";"None";"288.39";"0";"2.91";"13";"CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"Inhibition";"'>'";"95.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL765527";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123329";"1";"Scientific Literature";"J Med Chem";"1986";"None";"";"";"";"95.0"
"CHEMBL158984";"";"None";"226.24";"0";"2.04";"22j";"O=c1ccoc2cc(Cn3ccnc3)ccc12";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"30.94";"0.56";"4.96";"14.57";"0";"CHEMBL666790";"Inhibition of human placental microsome cytochrome P450 19A1 aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134355";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"0.1"
"CHEMBL176886";"";"None";"251.33";"0";"3.97";"19b";"CCOc1ccc2c(c1)CC/C2=C/c1cccnc1";"IC50";"'='";"7680.0";"nM";"5.12";"";"";"UO_0000065";"20.35";"0.37";"1.14";"23.12";"0";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"7680.0"
"CHEMBL104566";"";"None";"219.28";"0";"2.36";"11";"CC1CCC(OC(=O)Cc2ccncc2)C1";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"25.99";"0.49";"3.34";"14.54";"0";"CHEMBL663239";"In vitro inhibition of human placental Cytochrome P450 19A1.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125012";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"2.0"
"CHEMBL488";"AMINOGLUTETHIMIDE";"4.0";"232.28";"0";"1.35";"Page 2677";"CCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"19.47";"0.36";"3.17";"6.27";"0";"CHEMBL663079";"Inhibition of Cytochrome P450 19A1 in human placenta";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125058";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"30.0"
"CHEMBL39423";"";"None";"398.28";"1";"5.40";"13a";"CCn1ccc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"16.82";"0.37";"1.30";"29.45";"0";"CHEMBL661694";"Inhibition of cytochrome P450 19A1 of human placental microsomes with [1-beta,2beta-3H]testosterone";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136431";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"0.2"
